Signature;Title_Name;Date of origin;Language;Number of Scans;URL_Dataset;URL_Image;Sender;Recipient
SLA-RMR-Ms_B_14/3;"Rilke, Rainer Maria an Aman-Volkart, Elisabeth; Korrespondenz";exakt: 19220610;Deutsch;4;https://www.helveticarchives.ch/detail.aspx?ID=1010429;"https://www.helveticarchives.ch/bild.aspx?VEID=1010429&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=1010429&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=1010429&DEID=10&SQNZNR=3;https://www.helveticarchives.ch/bild.aspx?VEID=1010429&DEID=10&SQNZNR=4";Rilke, Rainer Maria;Aman-Volkart, Elisabeth
SLA-RMR-Ms_B_14/4;"Rilke, Rainer Maria an Aman-Volkart, Elisabeth; Korrespondenz";exakt: 19221230;Deutsch;5;https://www.helveticarchives.ch/detail.aspx?ID=1010433;"https://www.helveticarchives.ch/bild.aspx?VEID=1010433&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=1010433&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=1010433&DEID=10&SQNZNR=3;https://www.helveticarchives.ch/bild.aspx?VEID=1010433&DEID=10&SQNZNR=4;https://www.helveticarchives.ch/bild.aspx?VEID=1010433&DEID=10&SQNZNR=5";Rilke, Rainer Maria;Aman-Volkart, Elisabeth
SLA-RMR-Ms_B_14/5;"Rilke, Rainer Maria an Aman-Volkart, Elisabeth; Korrespondenz";exakt: 19240304;Deutsch;4;https://www.helveticarchives.ch/detail.aspx?ID=1010435;"https://www.helveticarchives.ch/bild.aspx?VEID=1010435&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=1010435&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=1010435&DEID=10&SQNZNR=3;https://www.helveticarchives.ch/bild.aspx?VEID=1010435&DEID=10&SQNZNR=4";Rilke, Rainer Maria;Aman-Volkart, Elisabeth
SLA-RMR-Ms_B_14/6;"Rilke, Rainer Maria an Aman-Volkart, Elisabeth; Korrespondenz";exakt: 19240407;Deutsch;7;https://www.helveticarchives.ch/detail.aspx?ID=1010437;"https://www.helveticarchives.ch/bild.aspx?VEID=1010437&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=1010437&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=1010437&DEID=10&SQNZNR=3;https://www.helveticarchives.ch/bild.aspx?VEID=1010437&DEID=10&SQNZNR=4;https://www.helveticarchives.ch/bild.aspx?VEID=1010437&DEID=10&SQNZNR=5;https://www.helveticarchives.ch/bild.aspx?VEID=1010437&DEID=10&SQNZNR=6;https://www.helveticarchives.ch/bild.aspx?VEID=1010437&DEID=10&SQNZNR=7";Rilke, Rainer Maria;Aman-Volkart, Elisabeth
SLA-RMR-Ms_B_14/7;"Rilke, Rainer Maria an Aman-Volkart, Elisabeth; Korrespondenz";exakt: 19240422;Deutsch;7;https://www.helveticarchives.ch/detail.aspx?ID=1010438;"https://www.helveticarchives.ch/bild.aspx?VEID=1010438&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=1010438&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=1010438&DEID=10&SQNZNR=3;https://www.helveticarchives.ch/bild.aspx?VEID=1010438&DEID=10&SQNZNR=4;https://www.helveticarchives.ch/bild.aspx?VEID=1010438&DEID=10&SQNZNR=5";Rilke, Rainer Maria;Aman-Volkart, Elisabeth
SLA-RMR-Ms_B_14/8;"Rilke, Rainer Maria an Aman-Volkart, Elisabeth; Korrespondenz";exakt: 19240905;Deutsch;7;https://www.helveticarchives.ch/detail.aspx?ID=1010439;"https://www.helveticarchives.ch/bild.aspx?VEID=1010439&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=1010439&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=1010439&DEID=10&SQNZNR=3;https://www.helveticarchives.ch/bild.aspx?VEID=1010439&DEID=10&SQNZNR=4";Rilke, Rainer Maria;Aman-Volkart, Elisabeth
SLA-RMR-Ms_B_20-2;"Rilke, Rainer Maria an Bailly, Alice; Korrespondenz";exakt: 19240211;Französisch;18;https://www.helveticarchives.ch/detail.aspx?ID=213090;"https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=3;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=4;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=5;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=6;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=7;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=8;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=9;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=10;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=11;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=12;https://www.helveticarchives.ch/bild.aspx?VEID=213090&DEID=10&SQNZNR=13";Rilke, Rainer Maria;Bailly, Alice
SLA-RMR-Ms_B_38;"Rilke, Rainer Maria an Battenberg, Anna (Prinzessin); Bonstetten, Betty von; Korrespondenz";exakt: 1923;Deutsch;2;https://www.helveticarchives.ch/detail.aspx?ID=213092;"https://www.helveticarchives.ch/bild.aspx?VEID=213092&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=213092&DEID=10&SQNZNR=2";Rilke, Rainer Maria;"Battenberg, Anna (Prinzessin); Bonstetten, Betty von"
SLA-RMR-Ms_B_44/01;"Rilke, Rainer Maria an Baumgartner, Frieda; Korrespondenz";exakt: 19211013;Deutsch;;https://www.helveticarchives.ch/detail.aspx?ID=1008881;https://www.helveticarchives.ch/bild.aspx?VEID=1008881&DEID=10&SQNZNR=1;Rilke, Rainer Maria;Baumgartner, Frieda
SLA-RMR-Ms_B_44/02;"Rilke, Rainer Maria an Baumgartner, Frieda; Korrespondenz";exakt: 19220330;Deutsch;2;https://www.helveticarchives.ch/detail.aspx?ID=1008882;"https://www.helveticarchives.ch/bild.aspx?VEID=1008882&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=1008882&DEID=10&SQNZNR=2";Rilke, Rainer Maria;Baumgartner, Frieda
